PAYS;REGION;SUPERFICIE;POP.84;POP.88;POP.86
TANZANIE;AFC;945100 ;21500000 ;24739000 ;22150000 
TCHAD;AFN;1284000 ;5000000 ;5399000 ;5100000 
TCHECOSLOVAQUIE;EUE;127900 ;15550000 ;15610000 ;16000000 
THAILANDE;ASM;514000 ;51900000 ;54469000 ;52900000 
TOGO;AFO;56000 ;2900000 ;3362000 ;3000000 
TOKELAU;OCE;10 ;1800 ;1800 ;1800 
TONGA;OCE;699 ;110000 ;101000 ;110000 
TRINITE-ET-TOBAGO;AMC;5100 ;1200000 ;1241000 ;1200000 
TUNISIE;AFN;163600 ;7200000 ;7796000 ;7400000 
TURKS-CAICOS;AMC;430 ;8000 ;13000 ;8000 
TURQUIE;ASO;780600 ;49200000 ;53772000 ;50800000 
TUVALU;OCE;26 ;8800 ;9000 ;8800 
U.R.S.S.;EUE;22402000 ;276500000 ;285659000 ;279500000 
URUGUAY;AMS;176200 ;3000000 ;3004000 ;3000000 
VANUATU;OCE;14800 ;130000 ;151000 ;134000 
VATICAN;EUO;1 ;700 ;700 ;700 
VENEZUELA;AMS;912100 ;17300000 ;18759000 ;17800000 
VIETNAM;ASM;329600 ;60000000 ;66682000 ;61300000 
WALLIS-ET-FUTUNA;OCE;220 ;12400 ;15000 ;12400 
YEMEN;ASO;527900 ;8750000 ;11081000 ;8900000 
YOUGOSLAVIE;EUE;255800 ;23100000 ;23552000 ;23250000 
ZAIRE;AFC;2345000 ;33000000 ;33615000 ;34000000 
ZAMBIE;AFS;752600 ;6600000 ;7486000 ;6800000 
ZIMBABWE;AFS;390600 ;8200000 ;9257000 ;8400000 
